Unnamed: 0,close,open,high,low,open_interest,volume,settle,settle.1
2011-07-15,4803.0,4710.0,4871.0,4710.0,138.0,260.0,4799.0,4799.0
2011-07-18,4790.0,4801.0,4810.0,4789.0,180.0,74.0,4794.0,4794.0
2011-07-19,4792.0,4781.0,4792.0,4780.0,190.0,20.0,4784.0,4784.0
2011-07-20,4804.0,4790.0,4806.0,4790.0,186.0,30.0,4798.0,4798.0
2011-07-21,4815.0,4801.0,4815.0,4799.0,230.0,72.0,4810.0,4810.0
2011-07-22,4790.0,4801.0,4810.0,4790.0,192.0,118.0,4797.0,4797.0
2011-07-25,4774.0,4800.0,4800.0,4770.0,198.0,74.0,4781.0,4781.0
2011-07-26,4771.0,4776.0,4776.0,4770.0,170.0,74.0,4771.0,4771.0
2011-07-27,4805.0,4789.0,4805.0,4789.0,170.0,46.0,4797.0,4797.0
2011-07-28,4794.0,4797.0,4797.0,4790.0,182.0,20.0,4793.0,4793.0
2011-07-29,4774.0,4781.0,4800.0,4772.0,196.0,30.0,4786.0,4786.0
2011-08-01,4844.0,4790.0,4844.0,4788.0,226.0,124.0,4807.0,4807.0
2011-08-02,4818.0,4825.0,4835.0,4811.0,548.0,508.0,4822.0,4822.0
2011-08-03,4822.0,4870.0,4870.0,4822.0,1018.0,694.0,4841.0,4841.0
2011-08-04,4793.0,4823.0,4823.0,4791.0,1016.0,142.0,4806.0,4806.0
2011-08-05,4704.0,4750.0,4750.0,4670.0,1020.0,162.0,4714.0,4714.0
2011-08-08,4681.0,4698.0,4715.0,4665.0,906.0,212.0,4696.0,4696.0
2011-08-09,4620.0,4600.0,4635.0,4575.0,914.0,94.0,4605.0,4605.0
2011-08-10,4649.0,4645.0,4650.0,4640.0,916.0,52.0,4645.0,4645.0
2011-08-11,4693.0,4645.0,4693.0,4645.0,920.0,58.0,4674.0,4674.0
2011-08-12,4703.0,4736.0,4736.0,4701.0,938.0,54.0,4714.0,4714.0
2011-08-15,4755.0,4731.0,4769.0,4731.0,960.0,64.0,4752.0,4752.0
2011-08-16,4733.0,4752.0,4760.0,4731.0,952.0,112.0,4752.0,4752.0
